"collected_time","url","title","price","sales_rate"
"2018-10-31 16:50:52","http://www.wemakeprice.com/deal/adeal/3391608/?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=29&_service=3&source=dealsearch","컬러풀 SSD 320GB 컴속도를 높이는 SSD","93,900","178"
"2018-10-31 16:50:55","http://www.wemakeprice.com/deal/adeal/3158960/?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=30&_service=3&source=dealsearch","컬러풀 GTX 1050 토마호크 베그하기 좋은 그래픽카드","162,000","138"
"2018-10-31 16:50:57","https://front.wemakeprice.com/product/100222722?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=1&_service=3&source=dealsearch","[즉시할인] XFX 라데온 RX 580 블랙울프 OC D5 8GB","413,000","114"
"2018-10-31 16:50:58","https://front.wemakeprice.com/product/100395648?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=2&_service=3&source=dealsearch","VGA 전원케이블 PCI E 6핀 x2 to 8핀변환 20cm","2,000","103"
"2018-10-31 16:51:00","https://front.wemakeprice.com/product/100427053?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=3&_service=3&source=dealsearch","[AMD] [즉시할인] XFX 라데온 RX VEGA 56 HBM2 8GB","695,000","86"
"2018-10-31 16:51:01","https://front.wemakeprice.com/product/100067386?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=4&_service=3&source=dealsearch","DVI 변환 젠더 RGB(암) DVI(수)24핀","3,900","72"
"2018-10-31 16:51:06","http://www.wemakeprice.com/deal/adeal/1546013/?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=5&_service=3&source=dealsearch","중고지만, 괜찮아 이것이! 가성비 사은품 장패드 증정!","145,000","51"
"2018-10-31 16:51:09","http://www.wemakeprice.com/deal/adeal/3559244/?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=6&_service=3&source=dealsearch","쿠폰할인! 컬러풀 1250W 파워 CROSSFEED CF G1250WN","129,000","27"
"2018-10-31 16:51:10","https://front.wemakeprice.com/product/100395814?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=7&_service=3&source=dealsearch","VGA 전원케이블 PCI E 6핀 연장 케이블 40cm","3,800","23"
"2018-10-31 16:51:12","https://front.wemakeprice.com/product/100177169?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=8&_service=3&source=dealsearch","[조텍] ZOTAC 지포스 GTX1050 MINi D5 2GB","152,400","23"
"2018-10-31 16:51:13","https://front.wemakeprice.com/product/100067459?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=9&_service=3&source=dealsearch","HDMI 변환 젠더 DVI(수) HDMI(암)","5,900","23"
"2018-10-31 16:51:14","https://front.wemakeprice.com/product/100067431?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=10&_service=3&source=dealsearch","DVI 변환 젠더 RGB(수) DVI(암)","4,900","23"
"2018-10-31 16:51:16","https://front.wemakeprice.com/product/109940891?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=11&_service=3&source=dealsearch","[이엠텍] 이엠텍 GTX1060 3GB D5 STORMX DUAL_G","281,000","20"
"2018-10-31 16:51:18","https://front.wemakeprice.com/product/106306541?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=12&_service=3&source=dealsearch","DVI변환젠더 RGB(F) DVI24+5(M) Single VGA","990","17"
"2018-10-31 16:51:20","https://front.wemakeprice.com/product/100005940?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=13&_service=3&source=dealsearch","inno3D 지포스 GTX1060 X2 D5 6GB","356,000","17"
"2018-10-31 16:51:24","http://www.wemakeprice.com/deal/adeal/3451979/?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=14&_service=3&source=dealsearch","COLORFUL GTX 1060 토마호크 6G 토마호크 OC DDR5","442,000","16"
"2018-10-31 16:51:26","https://front.wemakeprice.com/product/100177481?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=15&_service=3&source=dealsearch","[조텍] ZOTAC 지포스 GTX1050 Ti MINi D5 4GB","192,300","13"
"2018-10-31 16:51:30","http://www.wemakeprice.com/deal/adeal/2603038/?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=16&_service=3&source=dealsearch","인포그래픽카드 (표지판카드) CCTV 공간을 한층 더 돋보이게 해줘요~","590","13"
"2018-10-31 16:51:32","https://front.wemakeprice.com/product/117415007?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=17&_service=3&source=dealsearch","[에이치피] (디지털)HP 엘리트북 755 G5 R7 W10P AMD 라이젠 노트북 쿼드코어 윈도우10프로","1,185,000","12"
"2018-10-31 16:51:34","https://front.wemakeprice.com/product/100815893?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=18&_service=3&source=dealsearch","만리 GTX1050 Ti Gallardo D5 4GB","189,000","12"
"2018-10-31 16:51:35","https://front.wemakeprice.com/product/100387683?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=19&_service=3&source=dealsearch","VGA 전원케이블 IDE 4핀 to VGA 6핀변환","700","12"
"2018-10-31 16:51:36","https://front.wemakeprice.com/product/116475569?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=20&_service=3&source=dealsearch","[조텍] ZOTAC 지포스 게이밍 RTX 2080 D6 8GB TWIN","1,106,000","8"
"2018-10-31 16:51:38","https://front.wemakeprice.com/product/111658169?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=21&_service=3&source=dealsearch","[아수스] (쿠폰+카드중복할인)ASUS젠북 UX331UN EG003T/지포스mx150그래픽카드/윈도우10","1,285,000","8"
"2018-10-31 16:51:40","https://front.wemakeprice.com/product/100354166?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=22&_service=3&source=dealsearch","inno3D GTX1070 Ti D5 8GB X2","643,000","8"
"2018-10-31 16:51:42","https://front.wemakeprice.com/product/100354156?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=23&_service=3&source=dealsearch","inno3D 지포스 GTX1060 X2 D5 6GB","377,000","8"
"2018-10-31 16:51:43","https://front.wemakeprice.com/product/100187370?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=24&_service=3&source=dealsearch","[조텍] ZOTAC 지포스 GT1030 D5 2GB LP","108,300","8"
"2018-10-31 16:51:45","https://front.wemakeprice.com/product/100044547?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=25&_service=3&source=dealsearch","[엠에스아이] MSI GTX1050 OC 2GB 스톰","152,080","8"
"2018-10-31 16:51:46","https://front.wemakeprice.com/product/116523417?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=26&_service=3&source=dealsearch","만리 GTX 1060 Black Frame OC D5 3GB","258,000","7"
"2018-10-31 16:51:48","https://front.wemakeprice.com/product/111657736?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=27&_service=3&source=dealsearch","[아수스] (쿠폰+카드중복할인)ASUS젠북 UX331UN EG017T/코어i7/지포스mx150그래픽카드/윈도우10","1,285,000","7"
"2018-10-31 16:51:49","https://front.wemakeprice.com/product/100387945?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=28&_service=3&source=dealsearch","PCI E 6핀 to 8핀 6핀 전원 케이블 Y형 6+2P x 2","2,700","7"
"2018-10-31 16:51:50","https://front.wemakeprice.com/product/100245637?search_keyword=%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C&no=29&_service=3&source=dealsearch","inno3D 지포스 GTX1060 X2 D5 3GB","278,000","7"
